# XKCD color survey colors
# https://blog.xkcd.com/2010/05/03/color-survey-results/
carnation:                  #fd798f
yellowy brown:              #ae8b0c
violet red:                 #a50055
twilight blue:              #0a437a
pure blue:                  #0203e2
lightish red:               #fe2f4a
brick orange:               #c14a09
velvet:                     #750851
sunflower:                  #ffc512
light mint green:           #a6fbb2
light grass green:          #9af764
lavender blue:              #8b88f8
rusty red:                  #af2f0d
lightish purple:            #a552e6
dried blood:                #4b0101
light blue grey:            #b7c9e2
leaf:                       #71aa34
orangish:                   #fc824a
pale olive green:           #b1d27b
off yellow:                 #f1f33f
dusty orange:               #f0833a
butter:                     #ffff81
royal:                      #0c1793
petrol:                     #005f6a
greenish cyan:              #2afeb7
duck egg blue:              #c3fbf4
bubble gum pink:            #ff69af
bluegrey:                   #85a3b2
warm brown:                 #964e02
twilight:                   #4e518b
saffron:                    #feb209
purple/blue:                #5d21d0
dark sand:                  #a88f59
vibrant blue:               #0339f8
putty:                      #beae8a
lawn green:                 #4da409
camouflage green:           #4b6113
blush pink:                 #fe828c
reddy brown:                #6e1005
darkish red:                #a90308
algae green:                #21c36f
dark coral:                 #cf524e
bright cyan:                #41fdfe
piss yellow:                #ddd618
pastel red:                 #db5856
greenish turquoise:         #00fbb0
dark:                       #1b2431
ruby:                       #ca0147
poop green:                 #6f7c00
orangered:                  #fe420f
dandelion:                  #fedf08
claret:                     #680018
pale mauve:                 #fed0fc
lipstick:                   #d5174e
rosa:                       #fe86a4
darkblue:                   #030764
tan brown:                  #ab7e4c
shit green:                 #758000
red wine:                   #8c0034
pinky:                      #fc86aa
mud green:                  #606602
light greenish blue:        #63f7b4
dull teal:                  #5f9e8f
deep lavender:              #8d5eb7
vivid blue:                 #152eff
raw umber:                  #a75e09
light mint:                 #b6ffbb
light light blue:           #cafffb
highlighter green:          #1bfc06
greeny grey:                #7ea07a
bluey grey:                 #89a0b0
algae:                      #54ac68
sap green:                  #5c8b15
pale salmon:                #ffb19a
metallic blue:              #4f738e
ice:                        #d6fffa
gross green:                #a0bf16
dodger blue:                #3e82fc
warm pink:                  #fb5581
light green blue:           #56fca2
flat green:                 #699d4c
dark blue grey:             #1f3b4d
clay brown:                 #b2713d
sand yellow:                #fce166
grapefruit:                 #fd5956
blood orange:               #fe4b03
very pale blue:             #d6fffe
old pink:                   #c77986
neon red:                   #ff073a
golden rod:                 #f9bc08
plum purple:                #4e0550
pale peach:                 #ffe5ad
dark yellow green:          #728f02
carmine:                    #9d0216
deep sea blue:              #015482
dark hot pink:              #d90166
warm blue:                  #4b57db
light khaki:                #e6f2a2
icky green:                 #8fae22
greenblue:                  #23c48b
dirty purple:               #734a65
rich blue:                  #021bf9
mushroom:                   #ba9e88
flat blue:                  #3c73a8
dark slate blue:            #214761
dark sage:                  #598556
coral pink:                 #ff6163
true green:                 #089404
darkish purple:             #751973
